**Variables**,**All Participants**<br>N = 171711851.64708,**1st Quintile** <br>N = 29958395.1796981,**2nd Quintile** <br>N = 33670734.6019899,**3rd Quintile** <br>N = 32151605.6564404,**4th Quintile** <br>N = 33461674.97519,**5th Quintile** <br>N = 42469441.2337619
__Age (yr)__,46 ± 17,43 ± 16,47 ± 16,47 ± 18,47 ± 17,45 ± 16
__Sex (M/F)__,,,,,,
1,"87,415,471 (51%)","15,630,783 (52%)","17,088,013 (51%)","14,829,748 (46%)","17,348,174 (52%)","22,518,753 (53%)"
2,"84,296,381 (49%)","14,327,612 (48%)","16,582,722 (49%)","17,321,858 (54%)","16,113,501 (48%)","19,950,688 (47%)"
__Race__,,,,,,
1,"28,052,894 (16%)","9,465,830 (32%)","5,874,925 (17%)","4,676,042 (15%)","4,344,584 (13%)","3,691,514 (8.7%)"
3,"107,984,325 (63%)","14,000,697 (47%)","21,266,629 (63%)","19,746,147 (61%)","22,419,543 (67%)","30,551,310 (72%)"
4,"19,041,063 (11%)","3,606,894 (12%)","3,821,580 (11%)","4,271,914 (13%)","3,142,626 (9.4%)","4,198,049 (9.9%)"
5,"16,633,570 (9.7%)","2,884,975 (9.6%)","2,707,601 (8.0%)","3,457,503 (11%)","3,554,922 (11%)","4,028,569 (9.5%)"
__Education__,,,,,,
1,"15,793,210 (9.2%)","5,694,517 (19%)","3,127,551 (9.3%)","2,418,206 (7.5%)","2,325,274 (6.9%)","2,227,662 (5.2%)"
2,"42,909,327 (25%)","10,319,766 (34%)","9,514,406 (28%)","9,701,677 (30%)","6,406,148 (19%)","6,967,331 (16%)"
3,"52,614,771 (31%)","8,550,189 (29%)","10,832,151 (32%)","9,055,739 (28%)","10,762,158 (32%)","13,414,533 (32%)"
4,"60,380,152 (35%)","5,393,923 (18%)","10,196,626 (30%)","10,975,984 (34%)","13,968,096 (42%)","19,845,524 (47%)"
__Poverty Income Ratio__,3.31 ± 1.60,2.60 ± 1.61,3.20 ± 1.57,3.15 ± 1.62,3.58 ± 1.49,3.77 ± 1.48
__BMI (Kg/m²)__,29 ± 7,28 ± 6,29 ± 7,30 ± 8,29 ± 7,30 ± 7
__Waist Circumference (cm)__,99 ± 16,96 ± 15,99 ± 16,100 ± 18,100 ± 15,101 ± 17
__Overweight/Obesity__,,,,,,
0,"45,124,061 (26%)","9,729,369 (33%)","7,778,540 (23%)","9,059,969 (28%)","8,409,383 (25%)","10,146,800 (24%)"
1,"125,942,783 (74%)","20,045,684 (67%)","25,743,007 (77%)","23,015,467 (72%)","24,967,471 (75%)","32,171,154 (76%)"
__SBP (mmHg)__,120 ± 16,119 ± 16,121 ± 16,120 ± 16,121 ± 16,119 ± 15
__DBP (mmHg)__,74 ± 11,73 ± 11,74 ± 11,74 ± 11,75 ± 10,74 ± 10
__Hypertension__,,,,,,
0,"100,275,906 (58%)","18,651,392 (62%)","19,541,235 (58%)","18,705,947 (58%)","19,770,404 (59%)","23,606,929 (56%)"
1,"71,435,945 (42%)","11,307,004 (38%)","14,129,500 (42%)","13,445,659 (42%)","13,691,271 (41%)","18,862,512 (44%)"
__Total Cholesterol (mg/dL)__,186 ± 40,183 ± 38,192 ± 43,186 ± 41,185 ± 42,184 ± 39
__LDL-Cholesterol (mg/dL)__,110 ± 35,108 ± 33,114 ± 35,111 ± 36,110 ± 35,109 ± 34
__HDL-Cholesterol (mg/dL)__,54 ± 16,55 ± 18,56 ± 16,54 ± 17,53 ± 16,53 ± 14
__Fasting Triglycerides (mg/dL)__,110 ± 95,107 ± 101,112 ± 74,108 ± 70,114 ± 140,111 ± 76
__Low-HDL__,,,,,,
0,"124,174,300 (73%)","21,665,620 (73%)","25,334,148 (76%)","22,188,464 (70%)","22,724,036 (70%)","32,262,031 (77%)"
1,"45,407,558 (27%)","7,963,962 (27%)","8,097,475 (24%)","9,705,718 (30%)","9,757,437 (30%)","9,882,966 (23%)"
__Hypertriglyceridemia__,,,,,,
0,"114,348,764 (67%)","21,956,064 (74%)","22,771,728 (68%)","20,026,585 (63%)","21,483,954 (66%)","28,110,434 (67%)"
1,"55,465,026 (33%)","7,801,275 (26%)","10,659,896 (32%)","11,867,597 (37%)","11,053,113 (34%)","14,083,145 (33%)"
__Fasting Glucose (mg/dL)__,108 ± 30,108 ± 32,111 ± 41,108 ± 24,105 ± 20,108 ± 29
__Insulin (µU/mL)__,13 ± 22,12 ± 11,12 ± 12,13 ± 12,15 ± 36,15 ± 26
__HbA1C (%)__,5.61 ± 0.88,5.64 ± 0.87,5.70 ± 1.03,5.59 ± 0.77,5.51 ± 0.69,5.60 ± 0.98
__HOMA-IR__,3.82 ± 8.33,3.23 ± 3.55,3.45 ± 4.82,3.65 ± 4.07,4.06 ± 10.02,4.49 ± 12.69
__Dysglycaemia or DM2__,,,,,,
0,"59,970,981 (35%)","10,881,706 (36%)","10,988,867 (33%)","11,112,780 (35%)","12,291,737 (37%)","14,695,893 (35%)"
1,"111,740,870 (65%)","19,076,690 (64%)","22,681,868 (67%)","21,038,826 (65%)","21,169,938 (63%)","27,773,549 (65%)"
__GGT (U/L)__,28 ± 29,28 ± 30,26 ± 25,29 ± 29,29 ± 28,29 ± 34
__ALT (U/L)__,22 ± 15,21 ± 15,22 ± 15,23 ± 15,22 ± 11,24 ± 17
__AST (U/L)__,21 ± 10,21 ± 10,22 ± 10,21 ± 10,21 ± 8,22 ± 11
__ALT/AST__,1.02 ± 0.35,1.00 ± 0.35,1.01 ± 0.33,1.04 ± 0.39,1.02 ± 0.31,1.04 ± 0.38
__Total Energy Intake (kcal/d)__,"2,115 ± 799","2,078 ± 878","2,121 ± 812","2,078 ± 846","2,154 ± 776","2,132 ± 705"
__Smoking Habit__,,,,,,
0,"100,647,680 (59%)","17,546,251 (59%)","17,618,416 (52%)","18,910,562 (59%)","19,575,442 (59%)","26,997,010 (64%)"
1,"44,469,963 (26%)","6,208,156 (21%)","10,113,679 (30%)","7,516,717 (23%)","10,140,295 (30%)","10,491,116 (25%)"
2,"26,557,204 (15%)","6,203,988 (21%)","5,938,640 (18%)","5,724,326 (18%)","3,708,934 (11%)","4,981,315 (12%)"
__Alcohol Intake__,,,,,,
0,"13,475,724 (7.8%)","2,956,561 (9.9%)","3,127,950 (9.3%)","2,394,443 (7.4%)","2,509,964 (7.5%)","2,486,806 (5.9%)"
1,"24,068,933 (14%)","3,951,795 (13%)","4,801,029 (14%)","4,840,003 (15%)","5,552,672 (17%)","4,923,434 (12%)"
2,"134,167,195 (78%)","23,050,039 (77%)","25,741,756 (76%)","24,917,160 (77%)","25,399,039 (76%)","35,059,202 (83%)"
__Sedentary Behavior (h)__,354 ± 204,106 ± 40,204 ± 29,294 ± 41,422 ± 54,640 ± 114
__Median CAP (dB/m)__,261 ± 61,250 ± 59,263 ± 62,261 ± 63,260 ± 60,269 ± 61
__Liver Stifness (Kpa)__,5.47 ± 3.13,5.35 ± 3.29,5.75 ± 4.00,5.57 ± 2.21,5.29 ± 3.54,5.38 ± 2.41
__MASLD (CAP ≥ 248 db/m)__,,,,,,
0,"79,667,134 (46%)","16,202,254 (54%)","14,535,122 (43%)","15,310,807 (48%)","15,624,305 (47%)","17,994,645 (42%)"
1,"92,044,718 (54%)","13,756,141 (46%)","19,135,612 (57%)","16,840,798 (52%)","17,837,370 (53%)","24,474,796 (58%)"
__Hepatic Advanced Fibrosis (LSM ≥ 8 kPa)__,,,,,,
0,"158,092,753 (92%)","28,007,872 (93%)","30,710,977 (91%)","29,060,813 (90%)","31,718,014 (95%)","38,595,075 (91%)"
1,"13,619,099 (7.9%)","1,950,523 (6.5%)","2,959,757 (8.8%)","3,090,792 (9.6%)","1,743,661 (5.2%)","3,874,366 (9.1%)"
__NAFLD (CAP ≥ 248 db/m)__,,,,,,
0,"74,370,555 (43%)","15,157,393 (51%)","13,564,111 (40%)","13,889,200 (43%)","14,989,762 (45%)","16,770,089 (39%)"
1,"97,341,297 (57%)","14,801,002 (49%)","20,106,623 (60%)","18,262,406 (57%)","18,471,913 (55%)","25,699,352 (61%)"
__HSI__,38 ± 8,37 ± 8,38 ± 8,39 ± 9,39 ± 8,39 ± 9
